time: 132.07s, featurenum: 1, acc: 0.7300
time: 136.28s, featurenum: 101, acc: 1.0000
time: 133.49s, featurenum: 201, acc: 1.0000
time: 133.36s, featurenum: 301, acc: 1.0000
time: 133.85s, featurenum: 401, acc: 1.0000
time: 135.50s, featurenum: 501, acc: 1.0000
time: 135.24s, featurenum: 601, acc: 1.0000
time: 134.56s, featurenum: 701, acc: 1.0000
time: 133.87s, featurenum: 801, acc: 1.0000
time: 133.11s, featurenum: 901, acc: 1.0000
time: 132.41s, featurenum: 1001, acc: 1.0000
time: 132.68s, featurenum: 1101, acc: 1.0000
time: 130.67s, featurenum: 1201, acc: 1.0000
time: 130.12s, featurenum: 1301, acc: 1.0000
time: 129.31s, featurenum: 1401, acc: 1.0000
time: 128.67s, featurenum: 1501, acc: 1.0000
time: 128.10s, featurenum: 1601, acc: 1.0000
time: 126.97s, featurenum: 1701, acc: 1.0000
time: 125.01s, featurenum: 1801, acc: 1.0000
time: 124.74s, featurenum: 1901, acc: 1.0000
time: 122.96s, featurenum: 2001, acc: 1.0000
time: 121.47s, featurenum: 2101, acc: 1.0000
time: 120.16s, featurenum: 2201, acc: 1.0000
time: 120.84s, featurenum: 2301, acc: 1.0000
time: 116.42s, featurenum: 2401, acc: 1.0000
time: 115.02s, featurenum: 2501, acc: 1.0000
time: 116.14s, featurenum: 2601, acc: 1.0000
time: 113.84s, featurenum: 2701, acc: 1.0000
time: 111.82s, featurenum: 2801, acc: 1.0000
time: 108.18s, featurenum: 2901, acc: 1.0000
time: 108.02s, featurenum: 3001, acc: 0.9800
time: 106.90s, featurenum: 3101, acc: 0.9600
time: 104.70s, featurenum: 3201, acc: 0.9600
time: 96.84s, featurenum: 3301, acc: 0.9600
time: 92.39s, featurenum: 3401, acc: 0.9600
time: 99.88s, featurenum: 3501, acc: 0.9600
time: 98.55s, featurenum: 3601, acc: 0.9600
time: 86.54s, featurenum: 3701, acc: 0.9600
time: 84.43s, featurenum: 3801, acc: 0.9400
time: 91.13s, featurenum: 3901, acc: 0.9400
time: 89.23s, featurenum: 4001, acc: 0.9400
time: 87.16s, featurenum: 4101, acc: 0.9400
time: 84.55s, featurenum: 4201, acc: 0.9200
time: 82.49s, featurenum: 4301, acc: 0.9200
time: 79.68s, featurenum: 4401, acc: 0.8950
time: 76.12s, featurenum: 4501, acc: 0.8950
time: 65.43s, featurenum: 4601, acc: 0.8750
time: 62.24s, featurenum: 4701, acc: 0.8150
time: 68.53s, featurenum: 4801, acc: 0.8150
time: 64.76s, featurenum: 4901, acc: 0.8150
time: 61.61s, featurenum: 5001, acc: 0.8150
time: 51.84s, featurenum: 5101, acc: 0.8150
time: 48.21s, featurenum: 5201, acc: 0.7750
time: 51.48s, featurenum: 5301, acc: 0.7550
time: 48.43s, featurenum: 5401, acc: 0.7300
time: 45.25s, featurenum: 5501, acc: 0.7300
time: 36.83s, featurenum: 5601, acc: 0.7300
time: 37.84s, featurenum: 5701, acc: 0.7300
time: 34.69s, featurenum: 5801, acc: 0.7300
time: 27.50s, featurenum: 5901, acc: 0.7300
time: 26.75s, featurenum: 6001, acc: 0.7300
time: 23.18s, featurenum: 6101, acc: 0.7300
time: 17.27s, featurenum: 6201, acc: 0.7300
time: 15.18s, featurenum: 6301, acc: 0.6900
time: 10.45s, featurenum: 6401, acc: 0.6700
time: 7.20s, featurenum: 6501, acc: 0.6700
time: 3.06s, featurenum: 6601, acc: 0.6700
