time: 132.72s, featurenum: 1, acc: 0.7300
time: 132.73s, featurenum: 2, acc: 0.7150
time: 133.37s, featurenum: 3, acc: 0.8150
time: 136.84s, featurenum: 4, acc: 0.9000
time: 137.70s, featurenum: 5, acc: 0.9400
time: 136.95s, featurenum: 6, acc: 0.9200
time: 137.71s, featurenum: 7, acc: 0.9400
time: 137.83s, featurenum: 8, acc: 0.9800
time: 137.17s, featurenum: 9, acc: 0.9800
time: 137.23s, featurenum: 10, acc: 1.0000
time: 137.00s, featurenum: 11, acc: 1.0000
time: 136.76s, featurenum: 12, acc: 1.0000
time: 136.88s, featurenum: 13, acc: 1.0000
time: 137.48s, featurenum: 14, acc: 1.0000
time: 137.14s, featurenum: 15, acc: 1.0000
time: 133.26s, featurenum: 16, acc: 1.0000
time: 138.45s, featurenum: 17, acc: 1.0000
time: 138.08s, featurenum: 18, acc: 1.0000
time: 136.47s, featurenum: 19, acc: 1.0000
time: 136.16s, featurenum: 20, acc: 1.0000
time: 134.04s, featurenum: 21, acc: 1.0000
time: 136.30s, featurenum: 22, acc: 1.0000
time: 137.04s, featurenum: 23, acc: 1.0000
time: 136.37s, featurenum: 24, acc: 1.0000
time: 136.96s, featurenum: 25, acc: 1.0000
time: 136.23s, featurenum: 26, acc: 1.0000
time: 136.80s, featurenum: 27, acc: 1.0000
time: 136.84s, featurenum: 28, acc: 1.0000
time: 137.32s, featurenum: 29, acc: 1.0000
time: 136.79s, featurenum: 30, acc: 1.0000
time: 138.16s, featurenum: 31, acc: 1.0000
time: 137.48s, featurenum: 32, acc: 1.0000
time: 136.58s, featurenum: 33, acc: 1.0000
time: 137.30s, featurenum: 34, acc: 1.0000
time: 136.98s, featurenum: 35, acc: 1.0000
time: 135.97s, featurenum: 36, acc: 1.0000
time: 136.42s, featurenum: 37, acc: 1.0000
time: 136.67s, featurenum: 38, acc: 1.0000
time: 136.50s, featurenum: 39, acc: 1.0000
time: 137.49s, featurenum: 40, acc: 1.0000
time: 134.66s, featurenum: 41, acc: 1.0000
time: 136.74s, featurenum: 42, acc: 1.0000
time: 136.94s, featurenum: 43, acc: 1.0000
time: 137.11s, featurenum: 44, acc: 1.0000
time: 136.04s, featurenum: 45, acc: 1.0000
time: 136.74s, featurenum: 46, acc: 1.0000
time: 136.87s, featurenum: 47, acc: 1.0000
time: 136.11s, featurenum: 48, acc: 1.0000
time: 136.65s, featurenum: 49, acc: 1.0000
time: 136.80s, featurenum: 50, acc: 1.0000
time: 136.75s, featurenum: 51, acc: 1.0000
time: 137.40s, featurenum: 52, acc: 1.0000
time: 136.55s, featurenum: 53, acc: 1.0000
time: 136.46s, featurenum: 54, acc: 1.0000
time: 136.90s, featurenum: 55, acc: 1.0000
time: 136.32s, featurenum: 56, acc: 1.0000
time: 136.56s, featurenum: 57, acc: 1.0000
time: 137.00s, featurenum: 58, acc: 1.0000
time: 134.26s, featurenum: 59, acc: 1.0000
time: 137.09s, featurenum: 60, acc: 1.0000
time: 136.00s, featurenum: 61, acc: 1.0000
time: 135.03s, featurenum: 62, acc: 1.0000
time: 136.10s, featurenum: 63, acc: 1.0000
time: 136.87s, featurenum: 64, acc: 1.0000
time: 135.36s, featurenum: 65, acc: 1.0000
time: 136.26s, featurenum: 66, acc: 1.0000
time: 136.52s, featurenum: 67, acc: 1.0000
time: 134.58s, featurenum: 68, acc: 1.0000
time: 136.75s, featurenum: 69, acc: 1.0000
time: 136.35s, featurenum: 70, acc: 1.0000
time: 136.29s, featurenum: 71, acc: 1.0000
time: 137.68s, featurenum: 72, acc: 1.0000
time: 136.48s, featurenum: 73, acc: 1.0000
time: 136.53s, featurenum: 74, acc: 1.0000
time: 134.21s, featurenum: 75, acc: 1.0000
time: 136.96s, featurenum: 76, acc: 1.0000
time: 135.05s, featurenum: 77, acc: 1.0000
time: 137.02s, featurenum: 78, acc: 1.0000
time: 137.65s, featurenum: 79, acc: 1.0000
time: 136.58s, featurenum: 80, acc: 1.0000
time: 136.04s, featurenum: 81, acc: 1.0000
time: 137.66s, featurenum: 82, acc: 1.0000
time: 136.01s, featurenum: 83, acc: 1.0000
time: 135.99s, featurenum: 84, acc: 1.0000
time: 135.96s, featurenum: 85, acc: 1.0000
time: 137.68s, featurenum: 86, acc: 1.0000
time: 135.97s, featurenum: 87, acc: 1.0000
time: 136.87s, featurenum: 88, acc: 1.0000
time: 136.61s, featurenum: 89, acc: 1.0000
time: 136.47s, featurenum: 90, acc: 1.0000
time: 136.64s, featurenum: 91, acc: 1.0000
time: 137.11s, featurenum: 92, acc: 1.0000
time: 135.64s, featurenum: 93, acc: 1.0000
time: 136.54s, featurenum: 94, acc: 1.0000
time: 136.70s, featurenum: 95, acc: 1.0000
time: 136.67s, featurenum: 96, acc: 1.0000
time: 134.44s, featurenum: 97, acc: 1.0000
time: 135.94s, featurenum: 98, acc: 1.0000
time: 134.00s, featurenum: 99, acc: 1.0000
time: 136.78s, featurenum: 100, acc: 1.0000
[1533, 1536, 3854, 3909, 4777, 4780, 5130, 5270, 5282, 6310]
