time: 4.32s, featurenum: 1, acc: 0.6939
time: 2.54s, featurenum: 2, acc: 0.6735
time: 2.56s, featurenum: 3, acc: 0.6327
time: 2.54s, featurenum: 4, acc: 0.5510
time: 2.53s, featurenum: 5, acc: 0.5510
time: 2.56s, featurenum: 6, acc: 0.5306
time: 2.52s, featurenum: 7, acc: 0.5102
time: 2.51s, featurenum: 8, acc: 0.4898
time: 2.51s, featurenum: 9, acc: 0.4898
time: 2.52s, featurenum: 10, acc: 0.4694
time: 2.58s, featurenum: 11, acc: 0.4490
time: 2.50s, featurenum: 12, acc: 0.4898
time: 2.55s, featurenum: 13, acc: 0.4694
time: 2.44s, featurenum: 14, acc: 0.4694
time: 2.50s, featurenum: 15, acc: 0.4898
time: 2.40s, featurenum: 16, acc: 0.5306
time: 2.52s, featurenum: 17, acc: 0.5306
time: 2.49s, featurenum: 18, acc: 0.4898
time: 2.56s, featurenum: 19, acc: 0.4694
time: 2.50s, featurenum: 20, acc: 0.4490
time: 2.40s, featurenum: 21, acc: 0.4082
time: 2.54s, featurenum: 22, acc: 0.4082
time: 10.45s, featurenum: 23, acc: 0.4286
time: 15.68s, featurenum: 24, acc: 0.4490
time: 16.82s, featurenum: 25, acc: 0.4490
time: 16.67s, featurenum: 26, acc: 0.4490
time: 16.29s, featurenum: 27, acc: 0.4490
time: 16.05s, featurenum: 28, acc: 0.4490
time: 15.25s, featurenum: 29, acc: 0.4694
time: 15.01s, featurenum: 30, acc: 0.5102
time: 15.36s, featurenum: 31, acc: 0.4898
time: 15.55s, featurenum: 32, acc: 0.4694
time: 15.66s, featurenum: 33, acc: 0.4694
time: 16.46s, featurenum: 34, acc: 0.4898
time: 16.65s, featurenum: 35, acc: 0.4898
time: 15.40s, featurenum: 36, acc: 0.5306
time: 15.33s, featurenum: 37, acc: 0.5306
time: 15.71s, featurenum: 38, acc: 0.5714
time: 14.88s, featurenum: 39, acc: 0.5918
time: 15.88s, featurenum: 40, acc: 0.5714
time: 15.02s, featurenum: 41, acc: 0.6122
time: 15.59s, featurenum: 42, acc: 0.6122
time: 15.65s, featurenum: 43, acc: 0.6122
time: 15.89s, featurenum: 44, acc: 0.6122
time: 15.36s, featurenum: 45, acc: 0.6327
time: 15.78s, featurenum: 46, acc: 0.6327
time: 16.89s, featurenum: 47, acc: 0.6327
time: 14.99s, featurenum: 48, acc: 0.6327
time: 15.82s, featurenum: 49, acc: 0.6122
time: 14.76s, featurenum: 50, acc: 0.5918
time: 16.07s, featurenum: 51, acc: 0.5918
time: 15.04s, featurenum: 52, acc: 0.6327
time: 15.22s, featurenum: 53, acc: 0.6327
time: 16.12s, featurenum: 54, acc: 0.6327
time: 14.62s, featurenum: 55, acc: 0.6531
time: 15.68s, featurenum: 56, acc: 0.6531
time: 15.90s, featurenum: 57, acc: 0.6327
time: 14.88s, featurenum: 58, acc: 0.6327
time: 14.27s, featurenum: 59, acc: 0.6122
time: 15.02s, featurenum: 60, acc: 0.6122
time: 14.82s, featurenum: 61, acc: 0.6122
time: 14.68s, featurenum: 62, acc: 0.6122
time: 15.21s, featurenum: 63, acc: 0.6327
time: 13.90s, featurenum: 64, acc: 0.6327
time: 13.85s, featurenum: 65, acc: 0.6327
time: 15.04s, featurenum: 66, acc: 0.6531
time: 15.55s, featurenum: 67, acc: 0.6531
time: 15.17s, featurenum: 68, acc: 0.6531
time: 14.81s, featurenum: 69, acc: 0.6531
time: 14.34s, featurenum: 70, acc: 0.6531
time: 14.51s, featurenum: 71, acc: 0.6531
time: 13.68s, featurenum: 72, acc: 0.6531
time: 13.90s, featurenum: 73, acc: 0.6327
